iter	Passed	Remaining
0	1	1307
1	2	1083
2	2	986
3	3	948
4	4	961
5	5	970
6	6	958
7	7	944
8	8	927
9	9	915
10	10	904
11	10	898
12	11	891
13	12	885
14	13	888
15	14	884
16	15	878
17	15	871
18	16	866
19	17	862
20	18	864
21	19	864
22	20	869
23	21	867
24	22	867
25	23	865
26	24	865
27	24	864
28	25	861
29	27	877
30	28	878
31	28	873
32	29	873
33	30	870
34	31	866
35	33	892
36	35	920
37	36	921
38	37	917
39	38	912
40	38	909
41	39	907
42	40	906
43	41	906
44	42	910
45	43	910
46	44	906
47	45	902
48	46	900
49	47	899
50	48	909
51	50	913
52	50	910
53	51	907
54	52	902
55	53	897
56	54	893
57	54	889
58	55	889
59	56	885
60	57	882
61	58	879
62	58	875
63	59	873
64	60	872
65	61	870
66	62	867
67	63	864
68	64	865
69	65	865
70	65	862
71	66	859
72	67	859
73	68	856
74	69	852
75	69	849
76	70	846
77	71	844
78	72	841
79	73	843
80	74	842
81	74	839
82	75	833
83	76	831
84	77	829
85	77	827
86	79	830
87	80	831
88	81	829
89	81	827
90	82	825
91	83	822
92	84	819
93	84	816
94	85	814
95	86	813
96	87	811
97	88	809
98	88	808
99	89	806
100	90	804
101	91	802
102	91	801
103	92	800
104	93	800
105	94	798
106	95	796
107	96	794
108	97	794
109	98	793
110	98	792
111	99	790
112	100	789
113	101	787
114	102	786
115	103	787
116	104	785
117	104	784
118	105	782
119	106	780
120	107	779
121	108	777
122	108	776
123	109	775
124	110	774
125	111	773
126	112	771
127	112	769
128	113	767
129	114	765
130	115	764
131	116	763
132	117	762
133	118	763
134	118	762
135	119	760
136	120	758
137	121	757
138	122	756
139	123	756
140	124	757
141	125	756
142	126	755
143	126	753
144	127	752
145	128	750
146	129	749
147	130	749
148	131	749
149	132	748
150	132	747
151	133	746
152	134	746
153	135	745
154	136	744
155	137	744
156	138	743
157	139	741
158	140	740
159	140	739
160	141	736
161	142	735
162	142	733
163	143	732
164	144	730
165	145	729
166	146	728
167	147	728
168	148	727
169	148	726
170	149	725
171	150	724
172	151	722
173	151	721
174	152	719
175	153	718
176	154	717
177	155	716
178	155	715
179	156	713
180	157	712
181	158	711
182	158	709
183	159	708
184	160	707
185	161	707
186	162	706
187	163	704
188	163	703
189	164	702
190	165	700
191	166	699
192	166	698
193	167	696
194	168	695
195	169	695
196	170	694
197	171	693
198	172	692
199	172	691
200	173	690
201	174	689
202	175	687
203	175	686
204	177	686
205	177	685
206	178	684
207	179	683
208	180	681
209	180	680
210	181	679
211	182	678
212	183	677
213	184	675
214	184	675
215	185	674
216	186	674
217	187	673
218	188	672
219	189	671
220	190	670
221	191	669
222	192	669
223	192	668
224	193	666
225	194	665
226	195	664
227	195	663
228	196	662
229	197	661
230	198	660
231	199	659
232	200	658
233	201	658
234	202	658
235	203	657
236	204	657
237	204	656
238	205	655
239	206	654
240	207	653
241	208	653
242	209	652
243	210	652
244	211	651
245	212	651
246	213	650
247	214	649
248	215	648
249	215	647
250	216	647
251	217	646
252	218	645
253	219	645
254	220	645
255	221	644
256	222	643
257	223	642
258	224	641
259	224	640
260	225	639
261	226	638
262	227	637
263	228	636
264	228	634
265	229	633
266	230	632
267	231	631
268	231	630
269	232	629
270	233	628
271	234	627
272	235	626
273	236	625
274	236	624
275	237	623
276	238	622
277	239	621
278	240	620
279	240	619
280	241	618
281	242	617
282	243	616
283	244	615
284	244	614
285	245	613
286	246	612
287	247	610
288	247	609
289	248	608
290	249	607
291	250	606
292	250	605
293	251	604
294	252	603
295	253	602
296	254	601
297	254	600
298	255	599
299	256	598
300	257	597
301	258	596
302	259	595
303	259	595
304	260	593
305	261	593
306	262	591
307	263	590
308	263	590
309	264	589
310	265	588
311	266	587
312	267	586
313	267	585
314	268	583
315	269	582
316	270	581
317	270	581
318	271	579
319	272	578
320	273	577
321	273	576
322	274	575
323	275	574
324	276	573
325	276	572
326	277	571
327	278	570
328	279	569
329	280	568
330	280	567
331	281	566
332	282	565
333	283	564
334	283	563
335	284	562
336	285	561
337	286	561
338	287	560
339	288	559
340	288	558
341	289	557
342	290	556
343	291	555
344	292	554
345	293	554
346	294	554
347	295	553
348	296	552
349	297	551
350	297	550
351	298	549
352	299	548
353	300	547
354	301	547
355	301	546
356	302	545
357	303	544
358	304	543
359	305	543
360	306	542
361	307	541
362	308	540
363	309	539
364	310	539
365	310	538
366	311	537
367	312	537
368	313	536
369	314	535
370	315	534
371	316	534
372	317	533
373	318	532
374	318	531
375	319	530
376	320	529
377	321	528
378	322	528
379	324	529
380	325	528
381	326	528
382	327	528
383	328	527
384	329	526
385	330	525
386	331	524
387	331	523
388	332	522
389	333	521
390	334	520
391	335	519
392	336	519
393	337	518
394	338	518
395	339	517
396	340	516
397	341	516
398	342	515
399	342	514
400	343	513
401	344	512
402	345	512
403	346	511
404	347	511
405	348	510
406	349	509
407	350	508
408	351	507
409	352	506
410	352	505
411	353	504
412	354	503
413	355	502
414	355	501
415	356	500
416	357	499
417	358	498
418	359	497
419	359	497
420	361	496
421	361	495
422	362	494
423	364	494
424	364	493
425	365	493
426	366	492
427	367	491
428	368	490
429	369	489
